1015-406X,10
0148-2076,10
1534-3219,10
1697-7777,10
0967-5507,10
0261-6823,10
0515-0612,10
0084-585X,10
2164-9731,10
0567-560X,10
0968-1116,10
0958-5206,10
0929-9890,10
0722-740X,10
0001-494X,10
1243-969X,10
0065-0900,10
0353-5150,20
0044-5975,10
0065-101X,10
1588-2551,15
0776-2984,10
0800-3831,10
0418-453X,10
0065-1141,15
0231-5955,10
0351-2789,10
1216-9803,10
1408-0419,10
0001-5830,10
1406-2925,10
0904-2067,10
0374-0463,10
0716-0909,10
0001-6233,10
0001-6241,10
0567-784X,10
1211-4413,10
0567-7874,10
0001-6438,10
0001-6446,10
0355-1792,10
1121-2179,10
0001-6829,15
0341-1184,10
1104-3431,10
1015-8758,15
0567-8269,10
0567-8293,10
1213-4449,10
0208-533X,10
1722-3954,10
1301-2746,15
1126-6244,15
1476-7392,10
1638-9867,10
0001-8449,10
0342-7633,10
1045-1595,10
0065-2407,25
1441-7049,10
0776-3808,10
1234-4621,10
1827-7888,10
0001-9046,10
0237-7934,10
1430-1938,10
0001-9593,15
1121-8932,10
0250-4650,10
0856-0048,10
1062-4783,10
1024-0969,10
0263-0338,25
0001-9933,10
1013-171X,10
0145-2258,10
0002-0427,10
1723-0284,10
0002-0796,10
1013-0950,15
1382-5585,25
0874-5498,15
0211-6642,10
0002-1105,10
1724-904X,10
0002-1490,20
1015-5104,20
0358-6197,10
1461-0213,10
1128-7209,10
1406-3859,10
0355-1725,10
1378-5087,10
1133-9837,10
0002-4805,10
0002-5275,10
0516-6551,10
1587-1061,10
1122-1887,10
0340-7969,10
0950-3110,10
0211-3589,15
1286-4986,10
0170-9364,15
1249-8947,10
0774-4145,10
0002-6646,10
0968-7769,10
0232-8461,15
0065-6585,10
0942-4555,10
0185-1179,10
0982-9237,10
1073-9300,10
1051-3558,10
1061-0057,10
0362-8914,10
0002-9114,25
0892-3647,10
0002-9319,15
1094-6098,10
1892-8244,10
0895-8017,10
0896-7148,10
1540-3084,15
0065-9142,10
0002-9831,20
0734-4392,20
0003-0155,10
0003-0481,20
0003-0678,10
1078-3377,10
0340-2827,15
0221-8852,10
1385-2353,10
0304-6257,10
0165-7305,10
0169-0221,10
1774-4296,10
0570-0116,10
0874-9671,10
0392-2855,10
0003-2468,15
0003-2476,10
0066-1376,10
0791-6167,10
1122-2336,10
0169-7447,10
0517-6735,10
0066-1392,10
1223-9682,10
1221-9975,10
1224-032X,10
1224-5712,10
1841-8325,15
1224-5704,10
0569-9878,15
0212-6559,10
0214-6452,10
0008-7750,10
0210-4547,10
0864-0491,10
0185-1276,10
1330-0598,10
0870-8231,15
0033-2573,10
0870-3124,10
0326-1301,10
0295-3722,10
0171-5860,15
0003-2638,10
1018-1946,10
0066-1546,10
0066-1554,10
0003-276X,25
1358-6122,10
0929-077X,10
1470-9996,10
0835-3638,10
0956-5361,10
0951-001X,10
1568-3540,10
1378-4641,10
0740-2007,10
0066-1619,10
1570-1921,10
0212-159X,10
0084-6465,10
0258-3771,10
0969-725X,10
1123-5772,10
0903-1723,10
0340-5222,15
0954-9927,10
0263-6751,10
1300-5391,10
0254-4296,10
0570-1554,10
0003-3901,10
0399-0826,15
0066-2062,20
0987-7576,10
0365-2017,10
0866-4331,10
1370-4192,10
0003-4134,10
0776-135X,10
0003-4398,10
